path,orig,res,norm_orig,norm_res,status,denorm_res,word_diff
4586,det måste till ekonomiskt stöd från något håll för att kunna rädda de gamla skogarna,Allt går inte bara att se ur ett par gröna ögon,det måste till ekonomiskt stöd från något håll för att kunna rädda de gamla skogarna,allt går inte bara att se ur ett par gröna ögon,hard_mismatch,Allt går inte bara att se ur ett par gröna ögon,15
4978,således väljer det just nu unix spekulerar magnus wester,Programmet är framtaget i samarbete med Nokia.,således väljer det just nu unix spekulerar magnus wester,programmet är framtaget i samarbete med nokia,hard_mismatch,Programmet är framtaget i samarbete med Nokia.,9
4472,hur makten berövat dem deras personliga ansvar och blivit allt mer ogripbar,De har sett hur samhället blivit mer och mer fjärrstyrt,hur makten berövat dem deras personliga ansvar och blivit allt mer ogripbar,de har sett hur samhället blivit mer och mer fjärrstyrt,hard_mismatch,De har sett hur samhället blivit mer och mer fjärrstyrt,10
4231,resultatet skulle bli tre till fyra gånger högre fastighetsskatt i storstäderna,Ännu fler skulle inte ha råd att bo kvar.,resultatet skulle bli tre till fyra gånger högre fastighetsskatt i storstäderna,ännu fler skulle inte ha råd att bo kvar,hard_mismatch,Ännu fler skulle inte ha råd att bo kvar.,11
4852,linuxdistributören och utvecklaren red hat,"Arne Röber, vd på Navision i Sverige.",linuxdistributören och utvecklaren red hat,arne röber vd på navision i sverige,hard_mismatch,"Arne Röber, vd på Navision i Sverige.",7
1732,sexhundra trettiotretusen trehundra nittiofyra kronor har förts över från konto nittiotvå tjugoåtta streck fyrahundra trettiofem till ditt lönekonto,633 394 kronor har förts över från konto 92 28-435 till ditt lönekonto.,sexhundra trettiotretusen trehundra nittiofyra kronor har förts över från konto nittiotvå tjugoåtta streck fyrahundra trettiofem till ditt lönekonto,sexhundratrettiotre trehundranittiofyra kronor har förts över från konto nittiotvå tjugoåttafyrahundratrettiofem till ditt lönekonto,hard_mismatch,sexhundratrettiotre trehundranittiofyra kronor har förts över från konto nittiotvå tjugoåtta-fyrahundratrettiofem till ditt lönekonto.,8
1821,vill du överföra tvåhundra sjuttioåtta kronor och åttiofyra öre från konto sjuttiotre tio streck sextioåtta till ditt lönekonto,"Vill du överföra 278,84 kr från konto 7310-68 till ditt lönekonto?",vill du överföra tvåhundra sjuttioåtta kronor och åttiofyra öre från konto sjuttiotre tio streck sextioåtta till ditt lönekonto,vill du överföra tvåhundrasjuttioåttaåttiofyra kr från konto 7310sextioåtta till ditt lönekonto,hard_mismatch,"Vill du överföra tvåhundrasjuttioåtta,åttiofyra kr från konto 7310-sextioåtta till ditt lönekonto?",10
4771,nu känns det som om man kan lita på sap,"Persson, ekonomichef på Sendit.",nu känns det som om man kan lita på sap,persson ekonomichef på sendit,hard_mismatch,"Persson, ekonomichef på Sendit.",9
5210,actinvest är ett seriöst bolag säger en analytiker i milano,Den som har högre eget kapital får göra positiv räntefördelning. Räntefördelning,actinvest är ett seriöst bolag säger en analytiker i milano,den som har högre eget kapital får göra positiv räntefördelning räntefördelning,hard_mismatch,Den som har högre eget kapital får göra positiv räntefördelning. Räntefördelning,11
5165,från början finns bara den lokala maskinen,Vi kommer knappast att köpa de billigaste klonerna vi kan hitta.,från början finns bara den lokala maskinen,vi kommer knappast att köpa de billigaste klonerna vi kan hitta,hard_mismatch,Vi kommer knappast att köpa de billigaste klonerna vi kan hitta.,11
4805,dessutom går datorn att bygga ut i och med chassit går att öppna,Toshiba ska den givetvis göra detta,dessutom går datorn att bygga ut i och med chassit går att öppna,toshiba ska den givetvis göra detta,hard_mismatch,Toshiba ska den givetvis göra detta,13
5158,inget av allt detta är längre fria fantasier,"Andersson, produktchef på Telenordia",inget av allt detta är längre fria fantasier,andersson produktchef på telenordia,hard_mismatch,"Andersson, produktchef på Telenordia",8
5205,westergren presstödsnämnden,Eskilstuna bygger också ut utbildningen.,westergren presstödsnämnden,eskilstuna bygger också ut utbildningen,hard_mismatch,Eskilstuna bygger också ut utbildningen.,5
4404,det är ju vad jag tvingas göra jämt för att överhuvudtaget ta mig fram i det här kymiga manssamhället,Hon var ju faktiskt först,det är ju vad jag tvingas göra jämt för att överhuvudtaget ta mig fram i det här kymiga manssamhället,hon var ju faktiskt först,hard_mismatch,Hon var ju faktiskt först,18
3091,sju schweitziska franc motsvarar trettio grekiska drachmer,Sju schweiziska frang motsvarar 30 grekiska drasmer.,sju schweitziska franc motsvarar trettio grekiska drachmer,sju schweiziska frang motsvarar trettio grekiska drasmer,hard_mismatch,Sju schweiziska frang motsvarar trettio grekiska drasmer.,3
3917,då får det bli en ny carlsson i stället för en ny palme,Då får det bli en ny Karlsson istället för en ny Palme,då får det bli en ny carlsson i stället för en ny palme,då får det bli en ny karlsson istället för en ny palme,hard_mismatch,Då får det bli en ny Karlsson istället för en ny Palme,3
1889,tväråfors profilerar sig som all round,Tvär och fors profilerar sig som all around.,tväråfors profilerar sig som all round,tvär och fors profilerar sig som all around,hard_mismatch,Tvär och fors profilerar sig som all around.,4
1743,sjutusen etthundra åttio kronor och sex öre har förts över från konto sjuttio fyrtio sextioett streck sju till konto sextionio femtioett sjuhundra åtta,7 180 kronor och 6 öre har förts över från konto 70 40 61 sträck 7 till konto 69 51 708.,sjutusen etthundra åttio kronor och sex öre har förts över från konto sjuttio fyrtio sextioett streck sju till konto sextionio femtioett sjuhundra åtta,sju etthundraåttio kronor och sex öre har förts över från konto sjuttio fyrtio sextioett sträck sju till konto sextionio femtioett sjuhundraåtta,hard_mismatch,sju etthundraåttio kronor och sex öre har förts över från konto sjuttio fyrtio sextioett sträck sju till konto sextionio femtioett sjuhundraåtta.,6
4488,idag sväller staten över alla breddar men är inte stark nog att göra ens de nödvändiga satsningarna på infrastruktur,Staten ska vara begränsad men stark inom sina områden.,idag sväller staten över alla breddar men är inte stark nog att göra ens de nödvändiga satsningarna på infrastruktur,staten ska vara begränsad men stark inom sina områden,hard_mismatch,Staten ska vara begränsad men stark inom sina områden.,16
4220,av både miljö- och ekonomiska skäl är detta scenario olyckligt,"Man kan fastslå följande att fastighetsskatterna är orättvis, orättfärdig och grotesk.",av både miljö och ekonomiska skäl är detta scenario olyckligt,man kan fastslå följande att fastighetsskatterna är orättvis orättfärdig och grotesk,hard_mismatch,"Man kan fastslå följande att fastighetsskatterna är orättvis, orättfärdig och grotesk.",10
4847,micromuse plc london,"Potebo, en av de lättaste bärbara datorerna just nu.",micromuse plc london,potebo en av de lättaste bärbara datorerna just nu,hard_mismatch,"Potebo, en av de lättaste bärbara datorerna just nu.",9
4583,ps tummen upp för greenpeace ds,Skogen är för bönderna ett bankkonto som de kan plocka ur när tiderna är dåliga.,ps tummen upp för greenpeace ds,skogen är för bönderna ett bankkonto som de kan plocka ur när tiderna är dåliga,hard_mismatch,Skogen är för bönderna ett bankkonto som de kan plocka ur när tiderna är dåliga.,15
4618,påståenden kan ej nämnas som historik utan det är en desinformation till alla som läser det på internet,Skogen måste trots allt växa.,påståenden kan ej nämnas som historik utan det är en desinformation till alla som läser det på internet,skogen måste trots allt växa,hard_mismatch,Skogen måste trots allt växa.,18
5156,det ska visa sig stå dem dyrt,Inget av allt detta är längre fria fantasier.,det ska visa sig stå dem dyrt,inget av allt detta är längre fria fantasier,hard_mismatch,Inget av allt detta är längre fria fantasier.,8
4524,det är inte längre den anonyma fjärrstyrda marknaden som växer mest i ett sådant perspektiv,"Andra krafter kan visa sig starka, till och med i vår globaliserade tid.",det är inte längre den anonyma fjärrstyrda marknaden som växer mest i ett sådant perspektiv,andra krafter kan visa sig starka till och med i vår globaliserade tid,hard_mismatch,"Andra krafter kan visa sig starka, till och med i vår globaliserade tid.",14
4538,i värnamo syns en flik av den framtid som vi i centerpartiet vill vara med och skapa,Jag har förmånen att i min dagliga gärning träffa många människor varje dag.,i värnamo syns en flik av den framtid som vi i centerpartiet vill vara med och skapa,jag har förmånen att i min dagliga gärning träffa många människor varje dag,hard_mismatch,Jag har förmånen att i min dagliga gärning träffa många människor varje dag.,17
4574,dessutom är det ju rätt korrumperat i sådana länder,Där borta kunde ni göra en fin insats.,dessutom är det ju rätt korrumperat i sådana länder,där borta kunde ni göra en fin insats,hard_mismatch,Där borta kunde ni göra en fin insats.,9
5060,forskningsprogrammet pågår i fem år,Därför har chipstillverkarna fått ta till aluminium istället.,forskningsprogrammet pågår i fem år,därför har chipstillverkarna fått ta till aluminium istället,hard_mismatch,Därför har chipstillverkarna fått ta till aluminium istället.,8
4684,pentium för bärbara datorer använder lägre spänning internt,Microsoft vill inte kommentera något angående Nashville.,pentium för bärbara datorer använder lägre spänning internt,microsoft vill inte kommentera något angående nashville,hard_mismatch,Microsoft vill inte kommentera något angående Nashville.,8
4876,användare och personal måste också lära sig behärska den,I USA är trenden den motsatta.,användare och personal måste också lära sig behärska den,i usa är trenden den motsatta,hard_mismatch,I USA är trenden den motsatta.,9
4257,mot denna bakgrund anser vi inte att homosexuella par ska ha rätt att adoptera,Möjlighet att adoptera avgörs i varje enskilt fall och ska inte styras politiskt.,mot denna bakgrund anser vi inte att homosexuella par ska ha rätt att adoptera,möjlighet att adoptera avgörs i varje enskilt fall och ska inte styras politiskt,hard_mismatch,Möjlighet att adoptera avgörs i varje enskilt fall och ska inte styras politiskt.,13
4903,två män i kalmar bedrev firma under namnet databanditen,Beta-testningen är över.,två män i kalmar bedrev firma under namnet databanditen,betatestningen är över,hard_mismatch,Beta-testningen är över.,9
4262,i konsekvens med detta följer även att partiets valberedning skulle väljas på två år,Hemställer att partistämman beslutar att partistyrelsen väljs på två år samt att partiets valberedning väljs på två år.,i konsekvens med detta följer även att partiets valberedning skulle väljas på två år,hemställer att partistämman beslutar att partistyrelsen väljs på två år samt att partiets valberedning väljs på två år,hard_mismatch,Hemställer att partistämman beslutar att partistyrelsen väljs på två år samt att partiets valberedning väljs på två år.,13
4276,frågan om barnmisshandel,Hon är ledamot av landstingsfullmäktige i Norrbotten och sitter där i utbildnings- och kulturnämnden.,frågan om barnmisshandel,hon är ledamot av landstingsfullmäktige i norrbotten och sitter där i utbildnings och kulturnämnden,hard_mismatch,Hon är ledamot av landstingsfullmäktige i Norrbotten och sitter där i utbildnings- och kulturnämnden.,14
4364,wenke sträcker ut den glänsande statyetten mot honom hon vill ge honom den,"eller vill, hon känner att hon måste",wenke sträcker ut den glänsande statyetten mot honom hon vill ge honom den,eller vill hon känner att hon måste,hard_mismatch,"eller vill, hon känner att hon måste",12
5067,boken tar bland annat upp rubriksättning formgivning och länkning,Networx bland andra siktar också högt inför nästa lansering.,boken tar bland annat upp rubriksättning formgivning och länkning,networx bland andra siktar också högt inför nästa lansering,hard_mismatch,Networx bland andra siktar också högt inför nästa lansering.,9
4373,men så fort max fått tag om statyetten fladdrar det till av ett stort skynke bakom honom,Allt hon sett var bara ett skynke,men så fort max fått tag om statyetten fladdrar det till av ett stort skynke bakom honom,allt hon sett var bara ett skynke,hard_mismatch,Allt hon sett var bara ett skynke,15
3776,organisation och verksamhet ambulanssjukvårdens organisation i och med att verksamheten har delats har också ambulanssjukvårdens interna organisation förändrats,Organisation och verksamhet.,organisation och verksamhet ambulanssjukvårdens organisation i och med att verksamheten har delats har också ambulanssjukvårdens interna organisation förändrats,organisation och verksamhet,hard_mismatch,Organisation och verksamhet.,15
1616,den åttonde mars nittonhundra nittiotvå togs sexhundra sjuttiotusen sjuhundra sju kronor ut från kontot,Den 8 mars 1992 togs 670 707 kronor ut från kontot.,den åttonde mars nittonhundra nittiotvå togs sexhundra sjuttiotusen sjuhundra sju kronor ut från kontot,den åtta mars nittonhundra niohundranittiotvå togs sexhundrasjuttio sjuhundrasju kronor ut från kontot,hard_mismatch,Den åtta mars nittonhundra niohundranittiotvå togs sexhundrasjuttio sjuhundrasju kronor ut från kontot.,6
4674,telia är dock inte först i norden med detta slag av tjänst,Sands nya version av Solaris finns i en och flera användarversion.,telia är dock inte först i norden med detta slag av tjänst,sands nya version av solaris finns i en och flera användarversion,hard_mismatch,Sands nya version av Solaris finns i en och flera användarversion.,12
1589,den tionde maj nittonhundra nittiofyra togs sjuhundra fyrtiofemtusen trehundra trettiotre kronor ut från kontot,Den 10 maj 1994 togs 745 333 kronor ut från kontot.,den tionde maj nittonhundra nittiofyra togs sjuhundra fyrtiofemtusen trehundra trettiotre kronor ut från kontot,den tio maj nittonhundra niohundranittiofyra togs sjuhundrafyrtiofem trehundratrettiotre kronor ut från kontot,hard_mismatch,Den tio maj nittonhundra niohundranittiofyra togs sjuhundrafyrtiofem trehundratrettiotre kronor ut från kontot.,6
5040,det kommer inte bara att bli sap,Sollentuna energi,det kommer inte bara att bli sap,sollentuna energi,hard_mismatch,Sollentuna energi,7
4616,det här är min fria och personliga åsikt,"Trevligt med ert klotterplank. Förresten, jag tror de mycket fundersamma ska få en ny medlem.",det här är min fria och personliga åsikt,trevligt med ert klotterplank förresten jag tror de mycket fundersamma ska få en ny medlem,hard_mismatch,"Trevligt med ert klotterplank. Förresten, jag tror de mycket fundersamma ska få en ny medlem.",15
4746,memory data öppnar ett regionkontor där,Även Jesper räknar med att få jobb direkt efter utbildningen.,memory data öppnar ett regionkontor där,även jesper räknar med att få jobb direkt efter utbildningen,hard_mismatch,Även Jesper räknar med att få jobb direkt efter utbildningen.,10
4794,vobis som höll på att sluta i en rättstvist,Idag kan kommunen pressa Telenotan med flera miljoner kronor.,vobis som höll på att sluta i en rättstvist,idag kan kommunen pressa telenotan med flera miljoner kronor,hard_mismatch,Idag kan kommunen pressa Telenotan med flera miljoner kronor.,9
5181,i vilket fall som helst är prutmånen högre,Flera kommuner tävlar om att bli först med elektronisk handel.,i vilket fall som helst är prutmånen högre,flera kommuner tävlar om att bli först med elektronisk handel,hard_mismatch,Flera kommuner tävlar om att bli först med elektronisk handel.,10
1818,vill du överföra trehundra sjuttioen kronor och sjuttiofem öre från konto trettiosex åttahundra fyrtio streck sjuttioett till ditt sparkonto,"Vill du överföra 371,75 kr från konto 36 840-71 till ditt sparkonto?",vill du överföra trehundra sjuttioen kronor och sjuttiofem öre från konto trettiosex åttahundra fyrtio streck sjuttioett till ditt sparkonto,vill du överföra trehundrasjuttioettsjuttiofem kr från konto trettiosex åttahundrafyrtiosjuttioett till ditt sparkonto,hard_mismatch,"Vill du överföra trehundrasjuttioett,sjuttiofem kr från konto trettiosex åttahundrafyrtio-sjuttioett till ditt sparkonto?",10
4812,både bt och atandt har var för sig en stark ställning i tyskland,Sedan ett år tillbaka har Viseo Technico funnits i USA.,både bt och atandt har var för sig en stark ställning i tyskland,sedan ett år tillbaka har viseo technico funnits i usa,hard_mismatch,Sedan ett år tillbaka har Viseo Technico funnits i USA.,11
4186,frågorna ställs till en särskild frågesida på adressen www punkt finans punkt regeringen punkt s e,Vår förhoppning är att detta kan stimulera till politiska diskussioner och vara ett bra komplement till undervisningen i samhällskunskap.,frågorna ställs till en särskild frågesida på adressen www punkt finans punkt regeringen punkt s e,vår förhoppning är att detta kan stimulera till politiska diskussioner och vara ett bra komplement till undervisningen i samhällskunskap,hard_mismatch,Vår förhoppning är att detta kan stimulera till politiska diskussioner och vara ett bra komplement till undervisningen i samhällskunskap.,19
2534,hon vill ha barn och föräldrar mittemot sig,Hon ville ha barn och föräldrar mitt emot sig,hon vill ha barn och föräldrar mittemot sig,hon ville ha barn och föräldrar mitt emot sig,hard_mismatch,Hon ville ha barn och föräldrar mitt emot sig,3
4340,ännu starkare indicier på karlfrånvaron får vi när vi förflyttar oss till badrummet,"Ingen uppfälld toaring eller smutsigast fotspår på golvet. Det där är ju annars ett tydligt tecken på manlig inblandning, har man hört.",ännu starkare indicier på karlfrånvaron får vi när vi förflyttar oss till badrummet,ingen uppfälld toaring eller smutsigast fotspår på golvet det där är ju annars ett tydligt tecken på manlig inblandning har man hört,hard_mismatch,"Ingen uppfälld toaring eller smutsigast fotspår på golvet. Det där är ju annars ett tydligt tecken på manlig inblandning, har man hört.",21
4859,projektet kallas gränslös dator,Flera kommuner runt om i landet är på gång med liknande service.,projektet kallas gränslös dator,flera kommuner runt om i landet är på gång med liknande service,hard_mismatch,Flera kommuner runt om i landet är på gång med liknande service.,12
4496,det var så som folkrörelserna eller för den delen vårt eget parti växte fram en gång,De organiserade människorna för att de tillsammans med andra skulle kunna förverkliga det de ville åstadkomma och samspelade med den lokala demokratin.,det var så som folkrörelserna eller för den delen vårt eget parti växte fram en gång,de organiserade människorna för att de tillsammans med andra skulle kunna förverkliga det de ville åstadkomma och samspelade med den lokala demokratin,hard_mismatch,De organiserade människorna för att de tillsammans med andra skulle kunna förverkliga det de ville åstadkomma och samspelade med den lokala demokratin.,22
4994,projektet är ett utbildningsprogram för världens sjömän,"Internet och fax blir allt viktigare, säger Sundin.",projektet är ett utbildningsprogram för världens sjömän,internet och fax blir allt viktigare säger sundin,hard_mismatch,"Internet och fax blir allt viktigare, säger Sundin.",8
5100,monsterna är mer sofistikerade än i doom,Ett adaptivt system kan också vara anpassningsbart på flera sätt.,monsterna är mer sofistikerade än i doom,ett adaptivt system kan också vara anpassningsbart på flera sätt,hard_mismatch,Ett adaptivt system kan också vara anpassningsbart på flera sätt.,10
4961,så följde framgångarna slag i slag med sherlock holmes bistånd,Omni-gate varje gång ett brev ska skickas.,så följde framgångarna slag i slag med sherlock holmes bistånd,omnigate varje gång ett brev ska skickas,hard_mismatch,Omni-gate varje gång ett brev ska skickas.,10
4270,hon kommer bland annat att handha frågor som rör landsbygdsutveckling livsmedel rennäring jakt och småskalig livsmedelsindustri,Vårt mål är naturligtvis att inga barn ska behöva utsättas för misshandel.,hon kommer bland annat att handha frågor som rör landsbygdsutveckling livsmedel rennäring jakt och småskalig livsmedelsindustri,vårt mål är naturligtvis att inga barn ska behöva utsättas för misshandel,hard_mismatch,Vårt mål är naturligtvis att inga barn ska behöva utsättas för misshandel.,15
1886,cityhallen i aznavour drivs av hans-georg clausson,Cityhallen i Asnavour drivs av Hans Georg Clausson.,cityhallen i aznavour drivs av hansgeorg clausson,cityhallen i asnavour drivs av hans georg clausson,hard_mismatch,Cityhallen i Asnavour drivs av Hans Georg Clausson.,3
4809,om du ens ser dem,En liten inblick i Bill Gates personliga liv fick åhörarna också.,om du ens ser dem,en liten inblick i bill gates personliga liv fick åhörarna också,hard_mismatch,En liten inblick i Bill Gates personliga liv fick åhörarna också.,11
4375,nu får hon istället en hastig skymt av ett rasande gap av huggtänder av ett ormhuvud,Statuetten har samtidigt blivit en kniv.,nu får hon istället en hastig skymt av ett rasande gap av huggtänder av ett ormhuvud,statuetten har samtidigt blivit en kniv,hard_mismatch,Statuetten har samtidigt blivit en kniv.,15
4426,vi möts allt oftare av beskrivningar av hur företag flyttar från bygder eller till och med från vårt land,Vi ser den katastrofala avfolkningen som pågår i stora delar av vårt land.,vi möts allt oftare av beskrivningar av hur företag flyttar från bygder eller till och med från vårt land,vi ser den katastrofala avfolkningen som pågår i stora delar av vårt land,hard_mismatch,Vi ser den katastrofala avfolkningen som pågår i stora delar av vårt land.,16
5154,och att kräva byte av operativsystem i stor skala är otänkbart,Det ska visa sig stå dem dyrt.,och att kräva byte av operativsystem i stor skala är otänkbart,det ska visa sig stå dem dyrt,hard_mismatch,Det ska visa sig stå dem dyrt.,11
5193,några pengar till sitt förfogande har däremot inte kommissionen,När priset sattes var det riktigt.,några pengar till sitt förfogande har däremot inte kommissionen,när priset sattes var det riktigt,hard_mismatch,När priset sattes var det riktigt.,9
4448,till exempel att hon någonsin varit kommunist,"Okej, låt oss kalla det schymanism istället.",till exempel att hon någonsin varit kommunist,okej låt oss kalla det schymanism istället,hard_mismatch,"Okej, låt oss kalla det schymanism istället.",7
4866,compaq enligt en brittisk talesman för företaget,Även brandväggen är specialskriven för Intranetware.,compaq enligt en brittisk talesman för företaget,även brandväggen är specialskriven för intranetware,hard_mismatch,Även brandväggen är specialskriven för Intranetware.,6
4706,därför fick utbildningen avslutas och flytten skjutas upp,Lärarförbundets ordförande Christer Råmilsson,därför fick utbildningen avslutas och flytten skjutas upp,lärarförbundets ordförande christer råmilsson,hard_mismatch,Lärarförbundets ordförande Christer Råmilsson,8
4336,tja man ser det på den relativa oordningen singelkvinnor är inte så noga med städning och huspyssel,under de kyska perioderna vill säga.,tja man ser det på den relativa oordningen singelkvinnor är inte så noga med städning och huspyssel,under de kyska perioderna vill säga,hard_mismatch,under de kyska perioderna vill säga.,17
4766,men det fungerar inte längre menar o'connell,Det tar i snitt 5 månader att ta fram en färdig lösning.,men det fungerar inte längre menar oconnell,det tar i snitt fem månader att ta fram en färdig lösning,hard_mismatch,Det tar i snitt fem månader att ta fram en färdig lösning.,12
5123,isdn eller vanlig telefon,Mikael Allander,isdn eller vanlig telefon,mikael allander,hard_mismatch,Mikael Allander,4
4702,historien om projektet sirius är både snårig och intressant,Den färdiga versionen av Microsoft Agent är nu släppt.,historien om projektet sirius är både snårig och intressant,den färdiga versionen av microsoft agent är nu släppt,hard_mismatch,Den färdiga versionen av Microsoft Agent är nu släppt.,9
4747,även jesper räknar med att få jobb direkt efter utbildningen,Vi har ofta en övertro på att större resurser löser alla problem.,även jesper räknar med att få jobb direkt efter utbildningen,vi har ofta en övertro på att större resurser löser alla problem,hard_mismatch,Vi har ofta en övertro på att större resurser löser alla problem.,11
5052,behörigheter kan specificeras,Godtycke kan aldrig vara okej,behörigheter kan specificeras,godtycke kan aldrig vara okej,hard_mismatch,Godtycke kan aldrig vara okej,4
5180,studentlitteratur i lund,om man inte som på SJ går motsatt väg.,studentlitteratur i lund,om man inte som på sj går motsatt väg,hard_mismatch,om man inte som på SJ går motsatt väg.,9
4177,att lyfta fram de positiva aspekterna lägger en bättre grund för fortsatt kamp för ett socialt europa än att klaga,Nu i oktober ska Amsterdamfördraget vara färdigt för underskrift.,att lyfta fram de positiva aspekterna lägger en bättre grund för fortsatt kamp för ett socialt europa än att klaga,nu i oktober ska amsterdamfördraget vara färdigt för underskrift,hard_mismatch,Nu i oktober ska Amsterdamfördraget vara färdigt för underskrift.,19
1641,du uppgav kontonumret fyrtiosju sextiosju noll tio streck tre,Du uppgav kontonumret 47 67 010-3.,du uppgav kontonumret fyrtiosju sextiosju noll tio streck tre,du uppgav kontonumret fyrtiosju sextiosju tiotre,hard_mismatch,Du uppgav kontonumret fyrtiosju sextiosju tio-tre.,4
1680,etthundra åttiofemtusen sexhundra trettioåtta kronor har förts över från konto tjugonio fyrahundra femtiotvå till ditt sparkonto,185 638 kronor har förts över från konto 29 452 till ditt sparkonto.,etthundra åttiofemtusen sexhundra trettioåtta kronor har förts över från konto tjugonio fyrahundra femtiotvå till ditt sparkonto,etthundraåttiofem sexhundratrettioåtta kronor har förts över från konto tjugonio fyrahundrafemtiotvå till ditt sparkonto,hard_mismatch,etthundraåttiofem sexhundratrettioåtta kronor har förts över från konto tjugonio fyrahundrafemtiotvå till ditt sparkonto.,6
4776,det visar färska siffror från analysföretaget idc,Carina Hellström,det visar färska siffror från analysföretaget idc,carina hellström,hard_mismatch,Carina Hellström,7
4449,ok låt oss kalla det schymanism istället,Schymanismen kan i själva verket inte göra ett dugg för att lösa Sveriges egentliga problem.,ok låt oss kalla det schymanism istället,schymanismen kan i själva verket inte göra ett dugg för att lösa sveriges egentliga problem,hard_mismatch,Schymanismen kan i själva verket inte göra ett dugg för att lösa Sveriges egentliga problem.,15
1559,en miljon niohundra nittiotusen femhundra tolv,1 990 512,en miljon niohundra nittiotusen femhundra tolv,ett niohundranittio femhundratolv,hard_mismatch,ett niohundranittio femhundratolv,6
