Original	Transcript	Abair G2P	Abair source	Adjusted word (standardised)	Adjusted Abair	Rule
bhfosclaidh	ˈwɔsgli	ˈwoˈsˠkˠʟˠeː		bhfosclaí	ˈwoˈsˠkˠʟˠiː	
bhfuil	ˈwil′	ˈwilʲ	l			
bhinn	ˈνïν′	ˈvʲiɴʲ	l			
bhraich	ˈvreihʔ	ˈwɾˠaç	l+m			
bhun	ˈwo̤n	ˈwuɴˠ	l			
bhéadh	vɛuw	ˈvʲeːɣ				
bhéarfaidh	verhə	ˈvʲeːɾˠhiː	l			
bhéarfaidh	vèrhə	ˈvʲeːɾˠhiː	l			
bhéarfaidh	vɛ:rhə	ˈvʲeːɾˠhiː	l			
bhéarfaidh	vɛrhə	ˈvʲeːɾˠhiː	l			
bhí	vi:	ˈvʲiː	l			
bhíodh	vi:d′	ˈvʲiːuː	l			<odh> → (ə)dʲ / _ # pronoun
bhíodh	viuw	ˈvʲiːuː	l			
binn	ˈb′ïn′	ˈbʲiɴʲ	l			
bith	ˈb′i	ˈbʲiː	l			
bladhaire	ˈblᴇir′ə	ˈbˠʟˠeːɾʲə	l			
bocsa	ˈbo̤ks	ˈbˠokˠsˠə		bosca	ˈbˠokˠsˠə	
bracha	ˈbrɑxə	ˈbˠɾˠahə		braiche	ˈbˠɾˠaçə	
briste	ˈb′r′ïʃd′ə	ˈbʲɾʲiʃtʲə	l			
bruach	ˈbri:x	ˈbˠɾˠuah	l			
bruach	ˈbryəx	ˈbˠɾˠuah	l			
bróinte	ˈbrɔ:n′t′ə	ˈbˠɾˠoːnʲtʲə		brónna	bˠɾˠoːɴˠə	
bárr	ˈbɑ:r	ˈbˠaːɾˠ		barr	ˈbˠaːɾˠ	
caidé	gəˈd′ᶾe:	kˠəˈdʲeː	l			
cailleadh	ˈkal′l′u	ˈkˠaʟʲuː	l			
caithfidh	ˈkaihɪ	ˈkˠahjiː	l			
caithfidh	ˈkɑihi	ˈkˠahjiː	l			
caithfidh	ˈkɑihɪ	ˈkˠahjiː	l			
caithte	ˈko̤t′ᶴə	ˈkˠahtʲə		caite	ˈkˠatʲə	
ceig	ˈk′èg′	ˈceɟ				
ceól	ˈk′ʲɔ:l	ˈcoːʟˠ		ceol	ˈcoːʟˠ	
chaith	ˈxɑih	ˈxahj	l			
chaitheamh	ˈxɑhu	ˈxahjuː	l			
cheann	ˈx′o̤n	ˈçiɴˠ	l			
cheig	ˈx′ɛg′	ˈçeɟ				
cheithre	ˈx′ɛr′ə	ˈxeɾʲə	l			
chiadhna	ˈx′iənə	ˈçiəɣɴˠə		chéanna	ˈçeːɾˠɴˠə	
chiall	ˈx′i:əl	ˈçiaʟˠ	l			
chionn	x′o̤n	ˈçiɴˠ	l+m			
chor	ˈxɔr	ˈxaɾˠ	l			
chuireadh	xo̤r′əd′	ˈxuɾʲuː	l			<eadh> → ədʲ / _ # pronoun
chuireas	ˈxo̤r′əs	ˈxuɾʲəsˠ	l			
chur	ˈxo̤r	ˈxuɾˠ	l			
chéad	ˈx′e(:)d	ˈçeːdˠ	l			
clampaí	ˈklɑmbi	ˈkˠʟˠamˠpˠiː				
crapannaí	ˈkrɑpəni	ˈkˠɾˠapˠəɴˠiː				
croiceann	ˈkrɛk′ən	ˈkˠɾˠocəɴˠ		craiceann	ˈkˠɾˠacəɴˠ	
cruacha	ˈkruəx	ˈkˠɾˠuəˈxa				
cruachta	ˈkruəxdə	ˈkˠɾˠuəˈɾˠtˠa				
cróigeáin	ˈkrɔ:ᵊg′ən′	ˈkˠɾˠoːɟaːnʲ		gróigeáin	ˈgˠɾˠoːɟaːnʲ	
cróigfidh	ˈkrɔ:ᵊk′ə	ˈkˠɾˠoːɟiː		gróigfidh	ˈgˠɾˠoːɟiː	
cubhar	ˈku:r	ˈkˠuwəɾˠ		cúr	ˈkˠuːɾˠ	
cumhdach	ˈku:dɑx	ˈkˠuːdˠah	l			
cur	ˈko̤r	ˈkˠuɾˠ	l			
cáithte	ˈka:t′ʃə	ˈkˠaːhtʲə		cáite	kˠaːtʲə	
d'fhásfadh	dɑ:shəd′	ˈdˠaːsˠuː				<adh> → ədʲ / _ # pronoun
dabhach	ˈdɔuʷɑx	ˈdˠauh	l			
daoithe	di:ʰə	ˈdˠiːhə		di	ˈdˠi	
daoithe	dihə	ˈdˠiːhə		di	ˈdˠi	
dara	ˈdɑrə	ˈdˠaɾˠə	l			
de'n	ɔn	ˈdˠenˠ	l			d → ∅ / t # _
deasach	ˈd′ᶾasɑx	ˈdʲasˠah	l			
den	dɔ	ˈdˠenˠ	l			
den	dɔn	ˈdˠenˠ	l			
dh'fhás	ˈɣɑ:s	ˈɣaːsˠ		d'fhás	ˈdˠaːsˠ	
dhá	ˈɣɑ:	ˈɣaː	l			
dhéanamh	ˈja:nu	ˈjeːɴˠuː	l			
dhéanfaidh	ja:nhə	ˈɣeːɴˠhiː	l			
dhéin	ˈje:n′	ˈjeːnʲ	l+m			
do	dɔ	ˈdˠə	l			
domh	du	ˈdˠuː	l			
dorga	ˈdɔrəgə	ˈdˠoˈɾˠgˠa		dorú	ˈdˠoɾˠuː	
dtaobh	du:	ˈdʲiːw	l			
dtig	ˈd′ɪg′	ˈdʲiɟ	l			
dtig	ˈd′ᶾɪg′	ˈdʲiɟ	l			
dtiocfadh	d′ᶾo̤ku	ˈdʲokˠuː	l			
dtiocfadh	d′ᶾo̤ku	ˈdʲokˠuː	l			
dtugadh	do̤gəd′	ˈdˠugˠuː	l+m			<adh> → ədʲ / _ # pronoun
dtéighidh	ˈd′ᶾe:ᵊ	ˈdʲeːjiː		dté	ˈdʲeː	
dtí	ˈdʒ′i:	ˈdʲiː	l			
dtí	ˈd′ʒi:	ˈdʲiː	l			
dtólamh	ˈdɔ:luw	ˈdˠoːʟˠuː	l+m			
dtólamh	ˈdɔ:ləf′	ˈdˠoːʟˠuː	l+m			
duine	ˈdɪn′	ˈdˠinʲə	l			ə → ∅ / _ # v
dóigh	dɔ:i	ˈdˠoːj	l			
dóigh	ˈdɔ:i	ˈdˠoːj	l			
dórtadh	ˈdɔ:rtu	ˈdˠoːˈɾˠtˠeː		doirteadh	ˈdˠoɾˠtʲuː	
eagla	øglə	ˈogˠʟˠə	l			
eile	ˈɛl′i:	ˈelʲə	l			
eile	εl′ə	ˈelʲə	l			
eórna	ˈn′ɔ:rn	ˈoːɾˠɴˠə		eorna	ˈoːɾˠɴˠə	ə → ∅ / _ # v
eórna	ˈn′ɔ:rnə	ˈoːɾˠɴˠə				
eórna	ˈn′ɔ:rnə	ˈoːɾˠɴˠə		eorna	ˈoːɾˠɴˠə	
fad	fɑd	ˈfˠadˠ	l			
faoi	fʷi	ˈfˠiː	l			
faoin	fʷi:n	ˈfˠinʲ	l			
fhad	ad	ˈadˠ	l			
fhad	ˈɑd	ˈadˠ	l			
fhios	ïs	ˈisˠ	l			
fhéil	l′	ˈeːlʲ	l			
fhód	o:d	ˈoːdˠ	l+m			
fichead	ˈf′ihəd	ˈfʲihjədˠ	l			
fiog	ˈf′øg	ˈfʲigˠ				
fuar	ˈfyər	ˈfˠiaɾˠ	l			
fá	fɑ	ˈfˠaː	l			
fágfaidh	ˈfɑ:khə	ˈfˠaːgˠhə	l			
fágfaidh	ˈfɑ:kə	ˈfˠaːgˠhə	l			
fágáil	ˈfɑ:gɑl′	ˈfˠaːgˠalʲ	l			
fód	ˈfo:d	ˈfˠoːdˠ	l			
gabháil	gɔl′	ˈgˠolʲ	l			
gcionn	g′o̤n	ˈɟoɴˠ	l			
gclocha	glo̤hə	ˈgˠʟˠahə	l+m			
gconnadae	ˈgo̤ndei	ˈgˠoɴˠədˠeː		gcontae	ˈgˠəɴˠˈtˠe	
gcruachaidh	ˈgruəxə	ˈgˠɾˠuəˈxeː		gcruacha	ˈgˠɾˠuəˈxa	
geárradh	ˈg′ɑ:ru	ˈɟaːɾˠuː		gearradh	ˈɟaɾˠuː	
geárraidh	ˈg′ɑ:ri	ˈɟaːɾˠiː		gearra	ˈɟaɾˠə	
geárrfaidh	ˈg′ɑ:rhə	ˈɟaːɾˠiː		gearrfaidh	ˈɟaɾˠiː	
geárrtha	ˈg′ɑ:rhə	ˈɟaːɾˠhə		gearrtha	ˈɟaːɾˠˈha	
ghabháil	ˈɣɔ(:)l′	ˈɣolʲ	l			
gheimhridh	ˈjɛvr′i	ˈjivʲɾʲi	l			
gheárradh	ˈjɑ:ru	ˈjaːɾˠuː		ghearradh	ˈjaɾˠuː	
ghlas	ˈɣlɑs	ˈɣʟˠasˠ	l			
ghoirid	ˈɣo̤r′id′ᶾ	ˈɣoɾʲədʲ				
ghrian	ˈjᵊr′iən	ˈɣɾʲiaɴˠ	l			
gloine	ˈglön′ə	ˈgˠʟˠinʲə	l			
go	go	ˈgˠə	l			
go	gɔ	ˈgˠə	l			
go	gə	ˈgˠə	l			
goidé	gəˈd′ᶾe:	ˈgˠədʲeː	l			
grian	ˈg′r′iən	ˈɟɾʲiaɴˠ	l			
géar	ˈg′ɛ:ᵊr	ˈɟeːɾˠ	l			
géarrfaidh	ˈg′ɑ:rhə	ˈɟeːˈɾˠeː		gearrfaidh	ˈɟaɾˠiː	
h-áirid	ˈha:rid′ᶾ	ˈhaːɾʲədʲ		háirithe	ˈhaːɾʲihjə	
h-áiteacha	ˈha:n′t′ahə	ˈhaːtʲəhə	h-áiteacha			
h-é	hè	ˈheː	l+m			
huaire	ˈhuər′ə	ˈhuaɾʲə	l			
i		ˈi	l			
i	ə	ˈi	l			
iad	iəd	ˈiadˠ	l			
iad	əd	ˈiadˠ	l			
ina	nə	ˈiɴˠə	l			
ina	əνə	ˈiɴˠə	l			
innse	ïν′ʃə	ˈiˈɴʲʃe		insint	ˌinʲˈʃinʲtʲ	
inntí	ˈɪn′t′i	ˈiˈɴʲtʲiː		inti	iɴʲtʲi	
ins	n̥s	ˈinʲʃ				
ins	n̥s	ˈinʲʃ				ə → ∅ / v # _
ins	n̥s	ˈinʲʃ		sa	ˈsˠə	
ins an	n̥sə	ˈinʲʃ ˈəɴˠ				
insa	n̥sə	ˈinʲˈsˠə				
insa	n̥sə	ˈinʲˈsˠə		sa	ˈsˠə	
isteach	əˈʃd′ah	iʃˈtʲah	l			
isteach	əˈʃd′ax	iʃˈtʲah	l			
le	l′ɛ	ˈlʲe	l			
leagfaidh	ˈl′o̤khə	ˈʟʲagˠiː				
leat	l′at	ˈlʲatˠ	l			
leis	l′eʃ	ˈlʲiʃ	l			
leis	l′ɛ	ˈlʲiʃ	l			ʃ → ∅ / _ # ʃ
leithead	ˈl′ɛhəd	ˈʟʲaihjədˠ	l			
lena	l′ɛnə	ˈlʲeɴˠə	l			
leófa	l′ɔ:fə	ˈʟʲoːfˠə		leo	ˈlʲo	
lomadh	ˈlo̤mu	ˈʟˠomˠuː	l			
lomta	ˈlo̤mt	ˈʟˠomˠtˠə				
lá	ˈlɑ:	ˈʟˠaː	l			
láimhe	ˈlɑ:və	ˈʟˠaːvʲə	l			
lámh	ˈlɑ:w	ˈʟˠaːw	l			
lámha	ˈlɑ:wə	ˈʟˠaːwə	l			
lán	lɑ:n	ˈʟˠaːɴˠ	l			
léithe	l′ɛ:hə	ˈlʲeːhjə	l			
líonadh	ˈl′i:nəd′	ˈʟʲiːɴˠuː	l			
maith	ˈmɑi	ˈmˠahj	l			
mar	mo̤r	ˈmˠaɾˠ	l			
mar's	mo̤řš	ˈm_ea_er_ez_e	l			
mar's	məs	ˈmˠaɾˠsˠ	l			
marbh	ˈmaru	ˈmˠaɾˠəw	l			
mheileadh	vəl′həd′	ˈvʲelʲuː				<eadh> → ədʲ / _ # pronoun
mhárta	ˈwɑ:rtə	ˈwaːɾˠtˠə	l+m			
mhóin	ˈwo:n′	ˈwoːnʲ	l+m			
mhóin	ˈwo:ᵊn′	ˈwoːnʲ	l+m			
midhe	ˈm′i:ə	ˈmʲiːə		mí	ˈmʲiː	
má	mɑ	ˈmˠa	l			
mála	ˈmɑ:lə	ˈmˠaːʟˠə	l			
mí	ˈm′i:	ˈmʲiː	l			
móin	mo:n′	ˈmˠoːnʲ	l			
mónadh	mo:nu	ˈmˠoːɴˠuː	l			
mór	ˈmo:r	ˈmˠoːɾˠ	l			
n	n	nˠ	l			
n	n̥	nˠ	l			
na	nə	ˈɴˠə	l			
naoi	ˈni:	ˈɴˠiː	l			
ndam	ˈnɑmʷ	ˈɴˠamˠ		ndamba	ˈɴˠamˠbˠə	
ndéantar	ˈn′a:ntər	ˈnʲeːɴˠtˠəɾˠ	l			
nuair	nuər′	ˈɴˠuːɾʲ	l			
ná	nɑ:	ˈɴˠaː	l			
ní	n′i:	ˈɴʲiː	l			
níl	ˈn′i:l′	ˈɴʲiːlʲ	l			
níodh	ˈn′i:wəd′	ˈnʲiːuː	l			<odh> → ədʲ / _ # pronoun
nó	nɑ:	ˈɴˠoː	l			
ocht	ɔxd	ˈaxtˠ	l			
orthaí	ɔrhi	ˈoːɾˠhiː		uirthi	ˈaɾˠhjiː	
phoitín	ˈfot′in′	ˈfˠotʲinʲ	l+m			
phoitín	ˈfɔt′in′	ˈfˠotʲinʲ	l+m			
phortaigh	ˈfɔrti	ˈfˠaɾˠtˠiː	l			
poitín	ˈpɔt′in′	ˈpˠotʲinʲ	l			
pádraig	ˈpɑ:drik′	ˈpˠaːdˠɾˠəɟ	l			
rabh	ro	ˈɾˠau		raibh	ˈɾˠoːw	
rachadh	rɑhu	ˈɾˠahuː	l			
rachadh	rɑhəd′	ˈɾˠahuː	l			<adh> → ədʲ / _ # pronoun
rachaidh	rɑhə	ˈɾˠaːhij	l			
rachaidh	ˈrɑhə	ˈɾˠaːhij	l			
raithte	ˈrat′ʃ	ˈɾˠahtʲə		ráite	ˈɾˠaːtʲə	ə → ∅ / _ # v
rannadh	ˈrɑnhu	ˈɾˠaɴˠuː		roinnt	ˈɾˠoɴʲtʲ	
rathaidh	n̥ˈrahi	ˈɾˠahiː				
rathaidh	ˈrɑhi	ˈɾˠahiː		ratha	ˈɾˠahə	
riclíní	ˈrïk′l′i:n′i	ˈɾˠiclʲiːnʲiː				
rotha	ˈrɔh	ˈɾˠohə				
rud	ro̤d	ˈɾˠudˠ	l			
rud	ˈro̤d	ˈɾˠudˠ	l			
réidh	ˈre:i	ˈɾˠeːj	l			
réir	ˈre:	ˈɾˠeːɾʲ	l			
réir	ˈr′e:	ˈɾˠeːɾʲ	l			
sa	sə	ˈsˠə	l			
seachtmhaine	ˈʃaxdɪn′ə	ˈʃaɾˠtˠwənʲə		seachtaine	ˈʃaɾˠtˠənʲə	
seo	ʃɔ	ˈʃo	l			
shoin	xɪn′	ˈhoˈinʲ		shin	ˈhinʲ	
shíolthuigheadh	ˈhiəlhiuw	ˈhiːʟˠhəjuː		shíothlaíodh	ˈhiːhʟˠiəɣ	
siad	ʃəd	ˈʃiːdˠ	l			
sin	ʃɪn′	ˈʃinʲ	l			
sin's	ʃɪn′s	ˈʃinʲʃ				
sioc	ˈʃo̤k	ˈʃikˠ	l			
slat	ˈslɑt	ˈsˠʟˠatˠ	l			
sleaghán	ˈʃl′a:n	ˈʃlʲaɣaːɴˠ		sleán	ˈʃlʲaːɴˠ	
spréidhfidh	ˈsb′r′e:f′ə	ˈsˠpʲɾʲeːjiː		spréifidh	ˈsˠpʲɾʲeːiː	
spád	ˈsbɑ:d	ˈsˠpˠaːdˠ	l			
spád	ˈsbʷɑ:d	ˈsˠpˠaːdˠ	l			
still	ˈsdïl	ˈʃtʲiʟʲ				
stáluighidh	ˈsdɑ:li	ˈsˠtˠaːʟˠəjiː		stálaí	ˈsˠtˠaːʟˠiː	
suas	ʃuəs	ˈsˠuasˠ	l			
sábháilte	ˈsɑ:wɑl′t′	ˈsˠaːwaʟʲtʲə	l			
sábháilte	ˈsɑ:wɑl′t′ᶴə	ˈsˠaːwaʟʲtʲə	l			
sé	ʃɛ	ˈʃeː	l			
sí	tɑ:ʃi:	ˈʃiː	l			
sí	ʃi(:)	ˈʃiː	l			
síos	ˈʃi:s	ˈʃiːsˠ	l			
síos	ˈʃiᵊs	ˈʃiːsˠ	l			
t-am	ˈtɑ(:)m	ˈtˠaːmˠ	l			
t-iomlán	ˈt′ᶴo̤mlan	ˈtʲuːmˠʟˠaɴˠ				
t-uachtar	ˈtuəxdər	ˈtˠuaxtˠəɾˠ	l+m			
t-uisce	tɪʃg′ə	ˈtˠiʃcə	l			
talamh	ˈtɑlu	ˈtˠoʟˠuː	l			
tamallt	tɑməlt	ˈtˠamˠəʟˠtˠ		tamall	ˈtˠamˠəʟˠ	
taobh	ti:w	ˈtˠiːw	l			
tarraingt	tɑrən′t′	ˈtˠaɾˠinʲtʲ	l			
teinidh	ˈt′ʃɪn′i	ˈtʲenʲiː		tine		
thart	hɑrt	ˈhaɾˠtˠ	l			
theacht	haxd	ˈhjaxtˠ	l			
thig	hɪg′	ˈhjiɟ	l			
thiocfadh	ho̤ku	ˈhjokˠuː	l			
thoirt	ˈho̤rt′	ˈhaɾˠtʲ	l+m			
thriomuigheadh	ˈx′r′ïmʷied′	ˈr̪ʲimˠəjuː		thriomaíodh	ˈr̪ʲimˠiəɣ	
thriomuigheann	ˈx′r′o̤mʷiən	ˈr̪ʲimˠəjəɴˠ		thriomaíonn	ˈr̪ʲimˠiəɴˠ	
théigheadh	ˈhe:wəd′	ˈheːjuː		théadh	ˈhjeːh	
théigheann	ˈhe:ᵊn	ˈheːjəɴˠ		théann	ˈheːɴˠ	
tionntochaidh	ˈt′ᶴo̤ntahə	ˈtʲiɴˠtˠəhiː		tiontóidh	ˈtʲiɴˠtˠɔj	
toithe	tihə	ˈtˠohə		tithe	ˈtʲihjiː	
toithe	ˈtihə	ˈtˠohə		tithe	ˈtʲihjiː	
tosochaidh	ˈtɔsahə	ˈtˠosˠəhiː		tosóidh	ˈtˠosˠɔj	
triomochaidh	ˈt′ᶴr′ïmɑhə	ˈtʲɾʲimˠəhiː		triomóidh	ˈtʲɾʲimˠɔj	
trí	t′ʃr′i:	ˈtʲɾʲiː	l			
tsleagháin	′t′ʃl′a:n′	ˈtʲlʲaɣaːnʲ		tsleáin	ˈtʲlʲaːnʲ	
tuairim	tuər′ɪm′	ˈtˠuaɾʲimʲ	l			
tusa	ˈtösə	ˈtˠusˠə	l			
tá	ˈtɑ(:)	ˈtˠaː	l			
tír	ˈt′ᶴi:r′	ˈtʲiːɾʲ	l			
tú	tu(ᵊ)	ˈtˠuː	l			
uair	nuər′	ˈuaɾʲ	l			
uair	ˈnuər′	ˈuaɾʲ	l			
uile	ˈnɪl′ə	ˈilʲə	l			
uisce	ɪʃg′ə	ˈiʃcə	l			
well	wɛl′	ˈweʟʲ				
worm	ˈwïr′əm	ˈwoːɾˠəmˠ				
á	a	aː	l			
áiteacha	ˈa:n′t′axə	ˈaːtʲəhə		áiteanna	ˈaːtʲəɴˠə	
éadan	ˈe:ᵊdɑn	ˈeːdˠəɴˠ	l			
éadan	ˈɛ:dɑn	ˈeːdˠəɴˠ	l			
éadan	ˈɛ:ᵊdɑn	ˈeːdˠəɴˠ	l			
í		ˈiː	l			
í	i:	ˈiː	l			
ó	ɑ	ˈoː	l			
ó	ɔ	ˈoː	l			
