l̬um	liom	avec moi
cọlā́štẹ/clā́štẹ	coláiste	collège
perṓštẹ	paróiste	paroisse
ọráštẹ	oráiste
ə gōnī	i gcomhnuidhe	habituellement
stawmpwī	stampaidhe	timbres-poste
šīmplī	simplidhe	simple, niais
díanī̀	déidheanaighe			le déidheanaighe, dernièrement, récemment
ẹrī́ĉt	aeraidheacht	promenade d’agrément, divertissement en plein air
ànəƀī́ĉt	ainmhidheacht	bestial, brutal
c̬ạnī́ĉt	ceannuigheacht	action d’acheter
cǫšīĉt	coisidheacht	voyage à pied, aptitude à bien marcher
qīnī́ĉt	cuimhnigheacht	se rappeler
fǫsī́ĉt	fosuigheacht	terre à pâture
īqī́ĉt	iocaidheacht	tenir une ferme
marqīĉt	marcaidheacht	aller à cheval
šc̬ìalī́ĉt	scéalaidheacht	conte, récit, action de raconter
bihū́noeĉ	bitheamhnach	voleur, malfaiteur
brehū́nes	breitheamhnas	jument, décision du juge
calū́noeĉ	cailleamhnach	qui perd
fǫlū́noeĉ	follamhnach	qui soutient
šc̬ęnū́noeĉ	sceinneamhnach	qui s’agite, étourdi
ẹrū́noeĉ	oireamhnach	opportun, convenable
c̬ąnū́loeĉt	ceanamhlacht	affection
cesū́loeĉt	cosamhlacht	ressemblance
fọ̄rtū́loeĉt	fortamhlacht	force
fląhū́nes	flaitheamhnas	royaume, domination
g̬ąlū́ⁱnt	geallamhaint	promesse, apparence (pour le temps, par exemple)
lęšc̬ū́ⁱl	leisceamhail	paresseux, indolent
fạrū́ⁱl	fearamhail	viril
bąnū́ⁱl	beanamhail	comme une femme, modestement
diəgᵉsū́ⁱl	diadhasamhail	dévot
ìagəsū́loeĉt	éagsamhlacht	diversité, différence
lānūⁱn	lánamhain	couple marié
dąrūd	dearmhad	oubli
sū talū́n	sugha talmhan	fraises
bənūs	bunadhas	origine, fondement
bənū́soeĉ	bunadhasach	primitif, qui est à l’origine
c̬arū́ĉ	cearrbhach	joueur de profession
šąrū́s	searbhas	amertume
arū́r	arbhar	blé
g̬alū́n	gealbhan	moineau
bąrī́n	bairghean	gâteau, pain
bawrī́n	bainríoghain	reine
mwirī́n	muirighin	fardeau, famille nombreuse à nourrir
fątī́s	faithchios	peur
dǫlī́s	doilgheas	affliction, chagrin
cūntū́īⁱrt	contabhairt	doute, risque		génit. cuntūrʰe (contabhartha)
inīen	inghean	fille
əmyọ̄d	imtheochad	je m’en irai		1re pers. du fut. ind.
dəlū́r	duilleabhar	feuillage
stǫqī	stocaidhe	plur. de stoca, bas, chaussette
pąqī	peacaidhe	péchés
g̬ąlī	[gealaidhe]	la lune		gén. de gealach
tąsī́	tasuighe	chaud
Córqįg	Corcaigh	Cork
Córqī		Cork		génitif : nom. sg. Córqįg (Corcaigh)
prātī́	prátaidhe	pommes de terre
pāštī́	pastaidhe	enfants
bāištī́	baistighe	ondées de pluie
šīmplī	simplidhe	simple, un peu niais		Henebry (Sounds, p. 24, 4) : šaimplī
sərī́	suirghe	action de courtiser
ẹyrī́	éirghe	lever, se lever
dęrənī́	deireannaighe	le deireannaighe, récemment
cǫmərī	comraidhe	protection
ə gônī	i gcomhnuidhe	habituellement
dīanī	déidheanaighe	le déidheanaighe, dernièrement
stạ̃wmpwī	stampaidhe	timbres-poste
bęrū́	bearbhadh	bouillir
bąlū́	bailiughadh	ramasser, économiser
àhərū́	athrughadh	changer
fįsərụ́	fiosrughadh	s’informer
mą̀həlū	meathlughadh	défaillir, faiblir
baləƀū́	balbhughadh	faire taire, rendre muet
qīnū́	cuimhniughadh	rappeler
c̬ąrū́	ceathramhad	quatrième
trī́ū	tríomhadh	[troisième]
cūg̬ū	cúigmhadh	cinquième
šḗū	sémhadh	sixième
šąĉtū	seachtmhadh	septième
ǫ́ĉtū	ochtmhadh	huitième
nẹ̄́u	naomhadh	neuvième
calī́nī óge	cailínidhe óga/cailíní óga	jeunes filles
ágerhoeĉ	agarthach	vindicatif
áheroeĉ	atharrach	changement
bágeroe	bagarach	menaçant
báheloeĉ	bathalach	hutte, maison mal construite
brǫheloeĉ	brothalach	très chaud, brûlant (en parlant de la température)
cog̬elhoeĉ	coigealtach	économe
cáradoeĉ	caradach	amical
pǫhernoeĉ	putharnach	action de souffler
rágernoeĉ	ragairneach	inconstant
rīəĉtenoeĉ	ríachtanach	une personne nécessiteuse
Sásenoeĉ	Sasanach	Anglais
clágernoeĉ	clagarnach	pluie battante
dẹ́renoeĉ	deireannach	dernier, tard
Erenoeĉ	Eireannach	Irlandais
g̬ą́nesoeĉ	geanasach	modeste
g̬ebeloeĉ	giobalach	déguenillé, déchiré (en parlant des vêtements)
męg̬eloeĉ	meigeallach	barbu, barbu comme un bouc
mogeloeĉ	mogallach	luxuriant (en parlant de cheveux), touffu
mǫrsenoeĉ	mursanach	tyrannique
scrupeloeĉ	scrupalach	scrupuleux
árᵊmoeĉ	armach	belliqueux
bácᵊloeĉ	baclach	grand nombre de gens
bǫlᵊgoeĉ	bolgach	ampoule, pustule ; id. (adjectif) : qui a un gros ventre
cą́dəroeĉ	caidreach	amical
cąlegoeĉ	cailgeach	piquant, armé de piquants
c̬ą́lᵊgoeĉ	cealgach	trompeur
c̬ąngeloeĉ	ceanglach	lien, attache
c̬areboeĉ	cearbach	en guenilles, galeux
cǫlegoeĉ	colgach	pointu
cráhəroeĉ	crathrach	fondrière
criəʰroeĉ	criathrach	marais
dąləƀoeĉ	dealbhach	beau
dąləgoeĉ	dealgach	épineux
dąrəƀoeĉ	dearbhach	sûr, que l’on peut prouver
ẹ́təroeĉ	eitreach	sillon ; ancien adjectif : sillonné
fíacəloeĉ	fiaclach	qui a de grandes dents
gáləroeĉ	galrach	malade (adj. et subst.
g̬ąrəboeĉ	gearbach	couvert de croûtes
gǫbəloeĉ	goblach	bouchée
lę́rəgoeĉ	leargach	en pente, à pente rapide
lįbəroeĉ	liobrach	aux lèvres épaisses
mąscəhoeĉ	meascthach	qui se mêle facilement
mǫcəloech	muclach	troupeau de porcs
níaƀəroeĉ	niamhrach	brillant
tǫ́ləgoeĉ	tolgach	orgueilleux
frę́əhoeĉ	fraochach	couvert de bruyère
g̬iagoeĉ	géagach	qui a des branches
gnī́ƀoeĉ	gníomhach	actif
íạscoeĉ	iascach	poissonneux
líəhoeĉ	líathach	pâle, blême
lū́boeĉ	lúbach	qui plie, au moral, subtil
šc̬íaƀoeĉ	scíamach	beau
brẹ́ənoeĉ	braonach	humide, qui tombe goutte à goutte (se dit aussi des larmes)
bríagoeĉ	bréagach	menteur, mensonger
ī́loeĉ	aoileach	fumier
ẹ́ᵉnoeĉ	aonach	foire, assemblée
ā́roeĉ	árach	garantie, secours
bíətoeĉ	biadhtach	qui nourrit (les pauvres), hospitalier
bī́goeĉ	bíodhgach	vigoureux (en parlant de la voix)
búəcoeĉ	buacach	qui a la tête haute, fier
cᵃẹ́boeĉ	caobach	grossier, gauche
cᵃẹ́loeĉ	caolach	linum silvestre, jeune plant
clúəsoeĉ	clúasach	qui a l’oreille paresseuse
crᵃẹ́soeĉ	craosach	avide
fúədoeĉ	fuadach	action de piller, d’enlever de force
scúəboeĉ	scuabach	qui balaie, qui brosse
tᵃę́ƀoech	taobhach	latéral, qui a des côtés (au moral ; qui a du goût, de l’inclination pour)
tī́šoeĉ	taoiseach	chef, commandant
tṓrᵊmoeĉ	tórmach	accroissement
túətoeĉ	tuatach	rustique, gauche
úəloeĉ	ualach	fardeau
úənoeĉ	uamhnach	craintif
šū́loeĉ	siubhlach	voyageur (au sens adj. : rapide)
tī́loeĉ	teimhleach	obscur
qī́loeĉ	coinnleach	chaume
min-ū́roeĉ	min-iubhrach	cruche
g̬īloeĉ	geimhleach	tenu en esclavage
cū́doeĉ	cumhdach	action de couvrir
šáwroeĉ	seabhrach	courageux, vigoureux
mẹ́wloec̬	meabhlach	trompeur
nī́noeĉ	neimhnach	venimeux
cáwloeĉ tī	cabhlach tighe	maison vide
gáwloeĉ	gabhlach	fourchu
máwntoeĉ	manntach	qui a les dents ébréchées
qī́ltoeĉ	coillteach	boisé
õmploeĉ	amplach	avide
g̬ą̄́rcoeĉ	gearrcach	oisillon
šlīn̬toeĉ	slinnteach	ardoises, tuiles
blą́ĉtoeĉ	bleachtach	vache à lait
cą́ilc̬oeĉ	cailcach	crayeux
flą́scoeĉ	fleascach	jeune homme
láyroeĉ	laidhreach	ayant de gros doigts de pied
lọ́ĉtoeĉ	lochtach	fautif
máng̬oeĉ	meangach	subtil, trompeur
fǫ́lʰoeĉ	foltach	chevelu
scǫ́lʰoeĉ	scoilteach	bois qui se fend
šą́sc̮oeĉ	seascach	vache stérile
sẹ́sc̬oec̬	seascach	abondant en joncs
tǫ́ĉtoeĉ	tochtach	silencieux
trǫ́scoeĉ	troscach	qui jeûne
úĉtoeĉ	uchtach	sein
ū́ltoeĉ	Ultach	homme d’Ulster
fǫ́rtoeĉ	feartach	actif, énergique
gǫ́rtoec	gortach	qui a faim
stalcoeĉ	stalcach	raide, entêté
scertáĉ	scairteach	fourré, taillis
portáĉ/pertáĉ	portach	marais
fǫrcáĉ	forcach	fourchu
mercáĉ	marcach	chevalier, qui va à cheval
g̬elcáĉ	giolcach	espèce de roseaux qui pousse dans un marais
tᵘoeršą́ĉ	tuirseach	fatigué
cną́soeĉ	cneasach	à écorce ou à peau
cnǫ́coeĉ	cnocach	montagneux
snǫ́soeĉ	snosach	lustré
slǫ́goeĉ	slogach	abondant en trous
scágoeĉ	scágach	qui fuit, qui fait eau
smógoeĉ	smugach	qui a l’habitude de cracher
spᵉedáĉ	spadach	plein de mottes
cáhoeĉ	cathach	frisé, bouclé
clą́hoec	cleathach	à côtes, fait d’entrelacs
cléhoeĉ	cluicheach	qui aime le jeu, qui joue des tours
cráhoeĉ	crathach	qui agite, remue
crǫ́hoeĉ	cruthach	bien fait, bien bâti
fáhoeĉ	fathach	géant
grǫ́hoeĉ	gruthach	caillé
c̬ą́hoeĉ	ceathach	à ondées
gǫ́hoeĉ	gothach	retentissant, qui répond
šc̬ą́hoeĉ	sceathach	couvert de buissons, touffu
sclạ̃ĉ	sclamhach	avide
úenoeĉ	uamhnach	peureux
tráwĉ	treabhach	un laboureur
lã́ĉ	làmhach	action de tirer
dáwĉ	dabhach	vase
cũəĉ	cumhach	affligé
fiəĉ	fiadhach	action de chasser
blạ̃ĉ	bladhach	renommé
lạ̃ĉ	laghach	aimable, obligeant
becạ́ĉ	bacach	boiteux, estropié, mendiant
clebạĉ	clabach	aux lèvres épaisses
belạĉ	bealach	route
bįšąĉ	biseach	accroissement
begáĉ	bogach	mou, tendre
bǫgạĉ	bogach	marais
berą́ĉ	biorach	épingle
bretạĉ	bratach	étendard, robe
bremą́ĉ	bromach	poulain
qilạ́ĉ	cailleach	sorcière
c̬įmạ́ĉ	ciomach	torchon, personne malpropre
bredáĉ	bradach	porté à de menus larcins
brelạ́ĉ	breallach	noueux
brǫlạ́ĉ/breláĉ	brollach	sein
c̬etáĉ	ciotach	gaucher
c̬ịšạ́ĉ	ciseach	chaussée
qįlą́ĉ	coileach	coq
cǫlą́ĉ	cullach	verrat
cerạ́ĉ	corach/corrach	marais
drǫmạ́ĉ	dromach	courroie avec agrafes ou boucles que l’on passe par-dessus la croupe du cheval attelé à la charrue
erạ́ĉ	earrach	printemps
esạ́ĉ	easach	chute d’eau
felą́ĉ	folach	action de cacher, caché (subst. et adj.)
fįsą́ĉ	fiosach	qui connaît, intelligent
g̬ąlą́ĉ	gealach	la lune		génitif g̬ąlī́ (gealaighe)
cresą́ĉ	crosach	rayé, croisé
desą́ĉ	dosach	touffu, qui a des buissons
fresą́ĉ	frasach	à ondées, productif
g̬ebą́ĉ	giobach	velu, rugueux
glebạ́ĉ	gliobach	chevelu, à longs cheveux
glįšạ́ĉ	glaiseach	fondrière
grelą́ĉ	greallach	argile, terre glaise
lecą́ĉ	leacach	abondant en pierres plates
mercạ́ĉ	marcach	cavalier
pecaĉ	peacach	pécheur
prešą́ĉ (praiseach), potage — slạ́ĉ (salach), sale — šerạĉ (searrach), poulain — šemą́ĉ (siomach), truite ressemblant à une anguille, se dit d’un homme grand et mince — šeną́ĉ (sionach), renard — nedạ́ĉ (neadach), qui appartient, se rapporte à un nid — gebạ́ĉ (gobach), à bec — gerœ́ĉ (gorach), inflammable — tǫlạ́ĉ (tollach), troué — tesạ́ĉ (tosach), commencement — treạ́ĉ (troideach), querelleur, combattif.

mǫ́goeĉ	mugach	adonné aux plaisanteries
mášoeĉ	maiseach	beau
